Month,Turnover
2004 Jan,1895.1000000000001
2004 Feb,1765.7
2004 Mar,1872.8
2004 Apr,1873.6999999999998
2004 May,1846
2004 Jun,1758.5
2004 Jul,1878.1
2004 Aug,1850.1
2004 Sep,1921.5
2004 Oct,1914.6
2004 Nov,1840
2004 Dec,2041.9
2005 Jan,1798.7
2005 Feb,1661.3
2005 Mar,1780.3
2005 Apr,1809
2005 May,1788.8
2005 Jun,1768.9
2005 Jul,1869.1
2005 Aug,1813.4
2005 Sep,1845.8
2005 Oct,1978.1
2005 Nov,1965
2005 Dec,2152.6
2006 Jan,1913.7
2006 Feb,1750
2006 Mar,1983.7
2006 Apr,1966.6000000000001
2006 May,2005.1
2006 Jun,1943.6
2006 Jul,2019.1
2006 Aug,2043.2
2006 Sep,2038.8
2006 Oct,2113.2000000000003
2006 Nov,2109.3
2006 Dec,2297.4
2007 Jan,2097.1
2007 Feb,1939
2007 Mar,2192
2007 Apr,2134.1
2007 May,2145.6
2007 Jun,2133.9
2007 Jul,2178.5
2007 Aug,2257.9
2007 Sep,2179.4
2007 Oct,2257.4
2007 Nov,2284.6
2007 Dec,2461.1
2008 Jan,2163.5
2008 Feb,2086.6
2008 Mar,2159.4
2008 Apr,2148.2
2008 May,2176.6
2008 Jun,2089.9
2008 Jul,2172.6
2008 Aug,2203.9
2008 Sep,2124.2
2008 Oct,2302.3
2008 Nov,2242.7
2008 Dec,2479.4
2009 Jan,2318.2999999999997
2009 Feb,2069.4
2009 Mar,2303.2
2009 Apr,2327
2009 May,2401.8
2009 Jun,2263
2009 Jul,2415
2009 Aug,2446.1
2009 Sep,2430.8
2009 Oct,2602
2009 Nov,2569.9
2009 Dec,2897
2010 Jan,2521.2
2010 Feb,2323.9
2010 Mar,2607.6
2010 Apr,2535.7
2010 May,2571.4
2010 Jun,2505
2010 Jul,2781.3
2010 Aug,2800
2010 Sep,2742.8
2010 Oct,2730.2
2010 Nov,2684.6
2010 Dec,3021.1
2011 Jan,2598.2999999999997
2011 Feb,2391.3
2011 Mar,2648.9
2011 Apr,2598.9
2011 May,2604.2
2011 Jun,2519.6
2011 Jul,2701.9
2011 Aug,2739.6
2011 Sep,2744.4
2011 Oct,2814.4
2011 Nov,2784.1
2011 Dec,3046.6
2012 Jan,2729.5
2012 Feb,2556
2012 Mar,2839.3
2012 Apr,2737.2
2012 May,2836.7
2012 Jun,2784.7999999999997
2012 Jul,2932.2999999999997
2012 Aug,2962.6
2012 Sep,2885.9
2012 Oct,2966.5
2012 Nov,2973.2
2012 Dec,3177.6
2013 Jan,2849.7
2013 Feb,2607.7
2013 Mar,2924.1
2013 Apr,2853.5
2013 May,2901.6
2013 Jun,2813
2013 Jul,2968.5
2013 Aug,3065
2013 Sep,2988.7
2013 Oct,3175.4
2013 Nov,3210.8
2013 Dec,3536.8
2014 Jan,3209.1
2014 Feb,2879.9
2014 Mar,3232
2014 Apr,3182.1
2014 May,3228.2
2014 Jun,3067.6
2014 Jul,3315.8
2014 Aug,3350.7
2014 Sep,3360.4
2014 Oct,3401.6
2014 Nov,3374.9
2014 Dec,3692.9
2015 Jan,3391.2999999999997
2015 Feb,3027.4
2015 Mar,3361.8
2015 Apr,3266.6
2015 May,3314
2015 Jun,3257.6
2015 Jul,3445.2999999999997
2015 Aug,3421.1
2015 Sep,3444.4
2015 Oct,3525.8
2015 Nov,3491.3
2015 Dec,3819.9
2016 Jan,3431.8
2016 Feb,3187
2016 Mar,3435.4
2016 Apr,3451.8
2016 May,3430.7999999999997
2016 Jun,3314
2016 Jul,3573.1000000000004
2016 Aug,3647.5
2016 Sep,3696.2000000000003
2016 Oct,3716.7
2016 Nov,3678.5
2016 Dec,4047.3
2017 Jan,3621.2
2017 Feb,3260.6
2017 Mar,3619
2017 Apr,3566.9
2017 May,3598.5
2017 Jun,3544.2999999999997
2017 Jul,3698.2000000000003
2017 Aug,3711.2
2017 Sep,3729.7
2017 Oct,3871.2000000000003
2017 Nov,3828.1
2017 Dec,4175
2018 Jan,3698.9
2018 Feb,3377.7999999999997
2018 Mar,3749.1000000000004
2018 Apr,3679.3
2018 May,3666.6
2018 Jun,3601.2000000000003
2018 Jul,3843.9
2018 Aug,3908.2
2018 Sep,3863.2000000000003
2018 Oct,3929.1
2018 Nov,3934.4
2018 Dec,4278.9000000000005
